run,metric,value
run_20191002-0939,dat.n_points,105
run_20191002-0939,dat.depth_med,50
run_20191002-0939,dat.depth_min,5
run_20191002-0939,dat.depth_max,100
run_20191002-0939,dat.elev_min,4064
run_20191002-0939,dat.elev_max,5119
run_20191002-0939,dat.slope_min,0.124748192727566
run_20191002-0939,dat.slope_max,1.16945028305054
run_20191002-0939,cv.bias.lm,0.00629726909723927
run_20191002-0939,cv.rmse.lm,2.16110887853406
run_20191002-0939,cv.coverage.lm,0.96
run_20191002-0939,cv.interv.lm,8.62389917698287
run_20191002-0939,cv.bias.sm,-0.119422009429042
run_20191002-0939,cv.rmse.sm,2.21152423644145
run_20191002-0939,cv.coverage.sm,0.974285714285714
run_20191002-0939,cv.interv.sm,8.87040750182216
run_20191002-0939,prdr.n_points,26664
run_20191002-0939,prdr.elev_min,899
run_20191002-0939,prdr.elev_max,5468
run_20191002-0939,prdr.slope_min,0.00999966636300087
run_20191002-0939,prdr.slope_max,1.34603488445282
